Graph Edges,Paths
1-2-13.309670377192177; 1-3-4.908133795767613; 2-3-13.687637602492554; 2-4-3.4389512618261247; 3-4-11.992649429215346; 3-5-1.7446227221005275; 4-5-14.536476029870798; 4-6-14.840802441103687; 5-6-7.3519657656009185; 5-7-11.062726977470502; 6-7-5.620614088041325; 6-8-13.428488431166894; 7-8-9.468637494387519; 7-9-3.878980284028118; 8-9-1.863748490656881; 8-10-9.397345918348844; 9-10-3.657862623845287,"(66.98821684591849, [1, 2, 3, 4, 6, 7, 9, 10]); (74.03585620028652, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (74.44162254693477, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (79.57940902513106, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (83.45514382897774, [1, 2, 3, 4, 5, 7, 8, 10])"
1-2-5.939505847073503; 1-3-7.237080365715584; 2-3-5.549474093032957; 2-4-2.623434616698426; 3-4-14.51998318844516; 3-5-14.746307796929392; 4-5-9.223911373356044; 4-6-11.686903473301355; 5-6-14.739125451481275; 5-7-6.895375369991437; 6-7-7.010589090746253; 6-8-3.0460829686757895; 7-8-8.31664647075112; 7-9-13.4050118301889; 8-9-3.0191399117749915; 8-10-2.0446292884615893; 9-10-11.287552808709645,"(64.22913101825405, [1, 2, 4, 5, 6, 7, 9, 10]); (64.75158906313486, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (65.1471207571069, [1, 3, 4, 6, 7, 9, 10]); (67.32477564254937, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (67.34386480334791, [1, 2, 3, 4, 5, 6, 7, 8, 10])"
1-2-4.471302677067694; 1-3-13.090806047148419; 2-3-11.147663212746746; 2-4-13.181394754535022; 3-4-9.365951669796608; 3-5-14.274372881436655; 4-5-13.595850384322002; 4-6-10.993640388770817; 5-6-13.194546390036978; 5-7-8.923970154779006; 6-7-2.6755363294464236; 6-8-8.41246874692588; 7-8-14.211355205749216; 7-9-3.119767658750071; 8-9-8.170707051368753; 8-10-2.916145379936313; 9-10-8.292738035423906,"(65.86335635759043, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (66.80073472770414, [1, 3, 4, 6, 7, 8, 9, 10]); (67.96379899500661, [1, 2, 3, 5, 6, 8, 9, 10]); (69.31900803968024, [1, 2, 4, 5, 6, 8, 9, 10]); (70.8473182632456, [1, 2, 4, 5, 7, 8, 9, 10])"
1-2-5.767494082543793; 1-3-6.085864903106356; 2-3-12.549729465947223; 2-4-5.135406972439958; 3-4-4.497205297904557; 3-5-13.038265631868452; 4-5-5.018299830975587; 4-6-3.2638246528050585; 5-6-11.502477349932104; 5-7-4.388081303837387; 6-7-3.5190417540556664; 6-8-4.277098408872022; 7-8-14.184995547911772; 7-9-8.576205558949088; 8-9-3.423872455270854; 8-10-9.314091047596294; 9-10-1.2407217915461912,"(49.47247893070309, [1, 3, 4, 5, 6, 7, 8, 9, 10]); (49.79230978467592, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (52.6711751318542, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (53.096381848764366, [1, 2, 3, 4, 6, 7, 8, 10]); (54.44180658545517, [1, 2, 4, 5, 6, 7, 8, 10])"
1-2-13.187661311361227; 1-3-11.726825689518442; 2-3-1.1908583333884482; 2-4-3.284919122453441; 3-4-7.343810249503818; 3-5-3.226779128598658; 4-5-12.623158533187645; 4-6-6.836877358213522; 5-6-4.3634212000789905; 5-7-13.899232972439897; 6-7-6.452614231503379; 6-8-2.0263672879579055; 7-8-12.048093266921704; 7-9-6.271608314126612; 8-9-3.6367413679117506; 8-10-8.085595277749661; 9-10-8.365969191971466,"(60.04546294325605, [1, 2, 4, 5, 6, 7, 8, 10]); (63.128660484113574, [1, 2, 4, 5, 7, 8, 10]); (63.962578225389606, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (67.04577576624713, [1, 2, 4, 5, 7, 8, 9, 10]); (69.21232768582843, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-12.82603707490804; 1-3-2.6086953400014288; 2-3-8.30838212521237; 2-4-14.134444277767182; 3-4-4.654310564214673; 3-5-11.978691907624837; 4-5-5.057624699198069; 4-6-7.2614641970200715; 5-6-13.627330587229071; 5-7-9.273663791443044; 6-7-2.7199051425864793; 6-8-8.981989718475068; 7-8-12.198420190231937; 7-9-6.703119327594677; 8-9-13.21651529582658; 8-10-5.953012167652236; 9-10-14.410638656523123,"(75.59567324652328, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (79.94559239755783, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (81.11734398589796, [1, 2, 4, 5, 7, 8, 9, 10]); (82.25458030992712, [1, 2, 4, 5, 6, 8, 9, 10]); (88.19091592427047, [1, 2, 4, 5, 6, 7, 8, 9, 10])"
1-2-13.178865178929103; 1-3-1.0769533427819467; 2-3-13.76750627436312; 2-4-10.503116233365219; 3-4-11.430567053332354; 3-5-9.095156174938099; 4-5-11.898169657327745; 4-6-13.061013248389056; 5-6-12.039577703878592; 5-7-4.339210787041372; 6-7-14.975187707504073; 6-8-13.801829610482761; 7-8-1.1998050360877721; 7-9-6.223803566077613; 8-9-11.745100598686077; 8-10-1.9933732725610116; 9-10-5.672957844541555,"(74.4916778916239, [1, 2, 4, 5, 6, 7, 9, 10]); (74.95305445023216, [1, 2, 3, 5, 6, 7, 9, 10]); (80.48305188398378, [1, 2, 3, 4, 5, 6, 7, 8, 10]); (81.67415651892838, [1, 2, 3, 5, 6, 7, 8, 9, 10]); (95.9077370546504, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-14.86972505088132; 1-3-8.496188576493914; 2-3-3.1602971972400713; 2-4-4.532293965394897; 3-4-5.668078086879399; 3-5-1.261038394310935; 4-5-9.388963189839316; 4-6-8.879254202103244; 5-6-4.206040214843952; 5-7-13.986615303976166; 6-7-6.9021411306440115; 6-8-14.748766634920475; 7-8-7.315423123032561; 7-9-13.610118713027965; 8-9-5.258126094344991; 8-10-11.922684789195138; 9-10-14.951430759183982,"(65.06482513375032, [1, 3, 4, 5, 7, 8, 9, 10]); (66.10139462940074, [1, 3, 4, 5, 7, 9, 10]); (68.04104513995999, [1, 2, 3, 4, 6, 7, 9, 10]); (71.7202248468896, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]); (72.2514272281335, [1, 2, 3, 4, 5, 6, 8, 9, 10])"
1-2-2.646736895301334; 1-3-5.9403327463626345; 2-3-10.078567493139982; 2-4-13.899029337066153; 3-4-2.6826630670680647; 3-5-8.224380013663666; 4-5-11.757736966106599; 4-6-5.159888828437504; 5-6-4.2086092412287694; 5-7-9.004546790196176; 6-7-9.687272860007361; 6-8-9.832018918533425; 7-8-10.73419300990538; 7-9-2.0263028048427385; 8-9-5.699930883215469; 8-10-14.16130130144985; 9-10-6.068544616373081,"(51.88794807922741, [1, 3, 4, 5, 7, 8, 9, 10]); (52.75779765344817, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (54.280773881088706, [1, 3, 4, 5, 7, 8, 10]); (55.15062345530947, [1, 2, 3, 4, 6, 7, 8, 10]); (56.77928339026736, [1, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-5.171728502520633; 1-3-14.153585234737017; 2-3-3.8093717791216664; 2-4-9.47965611397292; 3-4-6.272990824618441; 3-5-11.550773148507883; 4-5-8.532005280533673; 4-6-2.790431606683493; 5-6-10.708534702690827; 5-7-7.506161662529513; 6-7-14.367376675043701; 6-8-9.61228672550743; 7-8-11.601404323042818; 7-9-6.015033842855851; 8-9-13.688961431894572; 8-10-10.882518324031366; 9-10-7.934701086388119,"(66.43558688709992, [1, 3, 5, 7, 8, 9, 10]); (70.74322392183593, [1, 2, 4, 5, 6, 7, 8, 10]); (70.80945118240815, [1, 3, 4, 6, 7, 8, 9, 10]); (81.48436811608725, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (82.08707460585444, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-13.03610431704902; 1-3-11.288622852058042; 2-3-6.764076174540386; 2-4-7.400913462980426; 3-4-7.099094290623744; 3-5-13.03632162041757; 4-5-6.691546149063641; 4-6-14.381560702973621; 5-6-4.220863679876944; 5-7-10.705482134960839; 6-7-1.337000624325542; 6-8-1.3367139842478668; 7-8-14.941548690652287; 7-9-1.876383584028959; 8-9-12.3127173197373; 8-10-13.910878703767327; 9-10-14.941387890915841,"(74.882082134601, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (76.30193237128637, [1, 3, 4, 6, 7, 8, 9, 10]); (77.98039932801169, [1, 3, 4, 5, 7, 8, 9, 10]); (80.02969996535936, [1, 2, 4, 5, 7, 8, 9, 10]); (80.5900203175149, [1, 2, 3, 5, 6, 7, 8, 9, 10])"
1-2-9.342696352921243; 1-3-4.685048809701872; 2-3-14.607110101124409; 2-4-9.944577200396596; 3-4-9.258791590254692; 3-5-6.1631135619453286; 4-5-13.783522205835686; 4-6-13.311312856156512; 5-6-13.97022110610609; 5-7-10.483979103642682; 6-7-2.3740342496447484; 6-8-1.2886596021063708; 7-8-3.520514369460157; 7-9-6.545996711862526; 8-9-14.27670881041912; 8-10-4.220992385414124; 9-10-1.803293940992424,"(61.45180347561499, [1, 2, 3, 5, 6, 8, 9, 10]); (63.67213508241479, [1, 3, 4, 5, 6, 7, 8, 9, 10]); (66.05769249261351, [1, 2, 3, 5, 6, 7, 8, 9, 10]); (77.07661647465041, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (82.93689272675857, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-11.932121730802619; 1-3-10.032836405660259; 2-3-8.794247356627851; 2-4-6.286586503431332; 3-4-4.59179959171489; 3-5-7.100823431028443; 4-5-10.529029281937383; 4-6-4.7395827719711905; 5-6-13.911160560381145; 5-7-10.09884418721245; 6-7-5.893771656898169; 6-8-13.879098728143228; 7-8-2.914901883966851; 7-9-9.0628960356485; 8-9-9.99727201467791; 8-10-7.128110870973193; 9-10-14.797668726875916,"(62.96235209204566, [1, 3, 4, 5, 7, 8, 9, 10]); (63.66136573353539, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (65.63587933119204, [1, 2, 3, 5, 7, 8, 9, 10]); (68.81916225911627, [1, 3, 4, 5, 6, 7, 9, 10]); (83.36197280388272, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-10.348797503054092; 1-3-1.3027323629407526; 2-3-14.919365741342832; 2-4-8.019433953039835; 3-4-1.5083921916348686; 3-5-5.285725326573978; 4-5-1.597724482754164; 4-6-10.861062090071325; 5-6-9.399327294709742; 5-7-12.778485955562704; 6-7-11.161671152418585; 6-8-14.972029408827678; 7-8-4.584555629084182; 7-9-10.81134635959048; 8-9-7.403769397498415; 8-10-6.607134835015341; 9-10-3.7551586994049524,"(52.34445633844818, [1, 2, 3, 4, 5, 7, 8, 10]); (55.49624073928888, [1, 2, 4, 5, 6, 8, 9, 10]); (55.71927093334409, [1, 2, 3, 4, 5, 7, 9, 10]); (59.21678176994614, [1, 2, 3, 4, 6, 8, 10]); (60.12696883001381, [1, 2, 3, 4, 5, 6, 7, 8, 10])"
1-2-1.0812980364318199; 1-3-14.078923298069153; 2-3-5.1508182889406875; 2-4-3.1835465379674015; 3-4-13.665439717688052; 3-5-9.087914134799153; 4-5-11.926178944987347; 4-6-9.944396442200617; 5-6-10.948970688584543; 5-7-12.165259315878087; 6-7-10.14859798217554; 6-8-6.603189904341063; 7-8-10.112037761283307; 7-9-2.318911376128198; 8-9-4.463177101192565; 8-10-4.598358965053832; 9-10-11.313354563733343,"(57.89667204348993, [1, 3, 5, 6, 7, 9, 10]); (62.30616855714096, [1, 2, 3, 5, 6, 7, 8, 9, 10]); (63.17716161635587, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (65.15242724589943, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (70.1529755298376, [1, 3, 5, 6, 7, 8, 9, 10])"
1-2-6.09530716492335; 1-3-3.8473806232288226; 2-3-14.300644753172207; 2-4-6.62559954682879; 3-4-7.802509005883993; 3-5-1.506048129068353; 4-5-8.430475560942183; 4-6-11.888282030775327; 5-6-8.6372458719218; 5-7-9.144411687321428; 6-7-4.358642062779731; 6-8-6.045876663218398; 7-8-1.5509062447814808; 7-9-2.171052439386684; 8-9-6.810097016787294; 8-10-11.444977377336265; 9-10-11.701113915078807,"(58.317551372000096, [1, 2, 3, 4, 6, 7, 9, 10]); (58.769231794360905, [1, 2, 3, 4, 5, 7, 8, 10]); (62.620708041741004, [1, 2, 3, 4, 5, 6, 7, 8, 10]); (64.5075021941822, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (65.83546534889075, [1, 2, 3, 4, 5, 7, 8, 9, 10])"
1-2-4.943137228861934; 1-3-3.738447697941334; 2-3-14.61762933902411; 2-4-9.253095680858994; 3-4-8.592931006300613; 3-5-9.598891010638159; 4-5-9.875616171569; 4-6-9.196277674545431; 5-6-3.1296519369747866; 5-7-11.070926105474365; 6-7-9.349837698312717; 6-8-6.691983090671466; 7-8-3.9582081300644134; 7-9-8.452657113228582; 8-9-1.2914477102961963; 8-10-8.160678914377842; 9-10-3.3216126617853488,"(53.75803425825396, [1, 2, 3, 5, 6, 7, 8, 10]); (55.27108144919077, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (56.01162768777975, [1, 2, 3, 4, 5, 6, 8, 10]); (58.47408272205874, [1, 2, 3, 4, 6, 7, 9, 10]); (58.81869999148706, [1, 2, 3, 4, 6, 7, 8, 10])"
1-2-1.9588743007014224; 1-3-4.883645173320351; 2-3-5.432558364632664; 2-4-6.9451648086398; 3-4-11.10894425921202; 3-5-13.263409897625777; 4-5-1.7557156599413126; 4-6-9.57358410935727; 5-6-1.0141778348579105; 5-7-10.07972588358032; 6-7-14.451719935711061; 6-8-11.55189352716624; 7-8-2.4592187260917067; 7-9-5.020443037046942; 8-9-14.860657752397527; 8-10-4.488810271507013; 9-10-14.148322199142555,"(59.03849669740481, [1, 2, 4, 6, 8, 9, 10]); (59.69497963215824, [1, 3, 5, 7, 8, 9, 10]); (61.80401714569953, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (65.08115151914689, [1, 3, 5, 6, 7, 8, 9, 10]); (67.58893901116062, [1, 2, 3, 5, 6, 7, 8, 9, 10])"
1-2-5.3019195738299425; 1-3-4.303159090126582; 2-3-1.7627696559937112; 2-4-4.292340812488749; 3-4-1.783842081258727; 3-5-5.159526036573325; 4-5-9.208652000955547; 4-6-14.789376858710865; 5-6-1.9677324197639565; 5-7-9.063758358354313; 6-7-13.45379336792139; 6-8-13.926220996388333; 7-8-5.337097541540003; 7-9-5.739713459154588; 8-9-7.991126459670824; 8-10-13.384927188193913; 9-10-13.917030197046934,"(54.89099525234008, [1, 2, 3, 5, 6, 7, 8, 9, 10]); (56.710755683202265, [1, 3, 4, 6, 8, 9, 10]); (57.962433158283964, [1, 3, 4, 5, 6, 7, 8, 9, 10]); (60.72396329798104, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]); (61.57542559627532, [1, 3, 4, 6, 7, 8, 9, 10])"
1-2-9.232682480171189; 1-3-7.774996518657906; 2-3-5.4261135735872115; 2-4-2.7714332016851397; 3-4-7.510972480980262; 3-5-8.442903032920643; 4-5-3.8165040462120166; 4-6-8.207602459806157; 5-6-4.108065978083967; 5-7-3.593870440947535; 6-7-4.2608153155270685; 6-8-12.425345515833145; 7-8-7.504609732944182; 7-9-2.5653919476908777; 8-9-2.6778408852293376; 8-10-6.531197403791853; 9-10-10.215269921636288,"(45.53017446436125, [1, 2, 4, 6, 8, 9, 10]); (46.166307984388006, [1, 2, 3, 5, 6, 8, 10]); (47.135815743888884, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (51.868300920099884, [1, 2, 3, 5, 6, 7, 8, 9, 10]); (54.75287441437152, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-2.3187428144874227; 1-3-8.582568305392574; 2-3-12.456756348601802; 2-4-13.311708633728045; 3-4-4.301700260152029; 3-5-5.8009000079726665; 4-5-5.840979552026619; 4-6-8.964252071958098; 5-6-7.352785502243867; 5-7-13.143266517454183; 6-7-4.852696749070441; 6-8-10.384894570296334; 7-8-12.084848448626438; 7-9-1.7063378171173424; 8-9-6.326003108528938; 8-10-1.887722012331616; 9-10-5.403606640054133; 9-11-4.038482278571586; 10-11-13.607522562507546; 10-12-12.743304660897827; 11-12-7.9168236840507396; 11-13-4.09849505062923; 12-13-4.391026300293408; 12-14-12.55366669027298; 13-14-6.166349235842451; 13-15-12.305374731665923; 14-15-14.315153342419833,"(92.23796022109742, [1, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15]); (92.2439244137396, [1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 15]); (92.3561912356332, [1, 3, 4, 6, 8, 9, 10, 11, 12, 14, 15]); (96.44056411729913, [1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]); (98.90884186303374, [1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15])"
1-2-2.472093568167926; 1-3-14.764018089911469; 2-3-4.666380153734092; 2-4-2.8167564002424377; 3-4-11.927953488600853; 3-5-8.5699204560592; 4-5-5.47233525013689; 4-6-1.4786961027842251; 5-6-11.486852750839734; 5-7-9.634336937430117; 6-7-14.456921900139973; 6-8-6.949002287436453; 7-8-5.281086325379144; 7-9-1.7095091781066794; 8-9-3.555414049582145; 8-10-3.80682893989402; 9-10-2.5960121771876183; 9-11-14.014436307575046; 10-11-6.516202571612775; 10-12-3.790227858020856; 11-12-2.87148504418668; 11-13-2.2630285621690818; 12-13-12.801053613039615; 12-14-3.4889134142889517; 13-14-14.14608193074037; 13-15-5.36984799558592; 14-15-6.118061916102111,"(79.72668191437663, [1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15]); (80.8787074761298, [1, 3, 4, 6, 7, 9, 11, 13, 14, 15]); (83.10347711420977, [1, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15]); (83.4633663005028, [1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]); (92.96071858467498, [1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15])"
1-2-2.313641105169035; 1-3-12.900038026680006; 2-3-5.813508225169338; 2-4-4.727036374679328; 3-4-4.515230417189679; 3-5-1.630586555735702; 4-5-10.472640167905475; 4-6-4.567285158319116; 5-6-10.16490743174475; 5-7-12.540781412376935; 6-7-12.693279300515274; 6-8-4.749812918639476; 7-8-14.377105569323614; 7-9-9.111382313111477; 8-9-11.861030750563993; 8-10-5.494368817835712; 9-10-14.98353795039135; 9-11-12.98692815786819; 10-11-12.106683983584718; 10-12-1.2546042264479178; 11-12-7.632522394251448; 11-13-2.4275306709235407; 12-13-9.588066792609748; 12-14-12.421512511198245; 13-14-14.738225015969688; 13-15-4.5771840033388385; 14-15-2.703699383792399,"(98.37088181730145, [1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15]); (103.48004045204493, [1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]); (105.8137359428834, [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]); (106.14019160323653, [1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15]); (114.25908244439296, [1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15])"
1-2-1.7527481802743503; 1-3-11.031559643261419; 2-3-9.92609511600526; 2-4-13.258049092603283; 3-4-2.8713873653884323; 3-5-4.5848360418708385; 4-5-12.424278730945485; 4-6-1.2102466756750354; 5-6-6.700441523006328; 5-7-1.0681679894852338; 6-7-11.660546004873355; 6-8-9.246043804607167; 7-8-1.7622125643186979; 7-9-1.103648458659166; 8-9-10.934753072505139; 8-10-5.439404462716878; 9-10-7.355141252724625; 9-11-14.472454793809636; 10-11-1.1429956681303541; 10-12-8.499489035840288; 11-12-3.0804835201906693; 11-13-11.84546255124973; 12-13-12.788914537644693; 12-14-5.831341218273154; 13-14-14.619217035076678; 13-15-7.0581144723949665; 14-15-3.3025833704216976,"(84.07204180699401, [1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15]); (90.03157947669192, [1, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15]); (92.35720695784215, [1, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15]); (94.05551498327756, [1, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15]); (105.64883216144221, [1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15])"
