Graph Edges,Paths
1-2-1.5153451341429192; 1-3-9.819633349706614; 2-3-8.480924637358893; 2-4-6.223046412311593; 3-4-3.558279904867237; 3-5-3.9700771975481457; 4-5-13.076173419458001,"(13.78971054725476, [1, 3, 5]); (13.966346969049958, [1, 2, 3, 5]); (20.814564965912513, [1, 2, 4, 5]); (26.454086674031853, [1, 3, 4, 5]); (26.63072309582705, [1, 2, 3, 4, 5])"
1-2-8.949023655268237; 1-3-10.880369494799076; 2-3-4.273771627181297; 2-4-11.74683574711229; 3-4-6.7849001858504865; 3-5-7.672498085782351; 4-5-9.561285944607292,"(18.552867580581427, [1, 3, 5]); (20.895293368231883, [1, 2, 3, 5]); (27.226555625256854, [1, 3, 4, 5]); (29.568981412907313, [1, 2, 3, 4, 5]); (30.25714534698782, [1, 2, 4, 5])"
1-2-5.119773893431117; 1-3-4.1200921655042855; 2-3-13.058650390906045; 2-4-10.841308230237669; 3-4-8.502726704523202; 3-5-13.33517829365682; 4-5-11.679422240525358,"(17.455270459161106, [1, 3, 5]); (24.302241110552846, [1, 3, 4, 5]); (27.640504364194143, [1, 2, 4, 5]); (31.513602577993982, [1, 2, 3, 5]); (38.36057322938572, [1, 2, 3, 4, 5])"
1-2-14.352348805912047; 1-3-14.006136047114348; 2-3-13.242870224580379; 2-4-6.9796441962741; 3-4-13.731542738065988; 3-5-6.838091885438669; 4-5-14.347828819895629,"(20.844227932553018, [1, 3, 5]); (34.433310915931095, [1, 2, 3, 5]); (35.67982182208178, [1, 2, 4, 5]); (42.08550760507596, [1, 3, 4, 5]); (55.67459058845404, [1, 2, 3, 4, 5])"
1-2-7.441408677142396; 1-3-9.55266358056928; 2-3-10.772619006142445; 2-4-9.350234682169289; 3-4-12.763259533770054; 3-5-6.042829258641611; 4-5-12.279261011601339,"(15.595492839210891, [1, 3, 5]); (24.25685694192645, [1, 2, 3, 5]); (29.070904370913023, [1, 2, 4, 5]); (34.595184125940676, [1, 3, 4, 5]); (43.25654822865623, [1, 2, 3, 4, 5])"
1-2-9.989446791722825; 1-3-3.534569938238204; 2-3-2.960022129284878; 2-4-5.267131173374061; 3-4-7.634814489046101; 3-5-2.4126361220003965; 4-5-9.775078716425035,"(5.9472060602386, [1, 3, 5]); (15.3621050430081, [1, 2, 3, 5]); (20.944463143709342, [1, 3, 4, 5]); (25.031656681521923, [1, 2, 4, 5]); (30.35936212647884, [1, 2, 3, 4, 5])"
1-2-10.874517801278957; 1-3-3.071357064621534; 2-3-3.2968651868992076; 2-4-3.0653850751683605; 3-4-1.3890800947153112; 3-5-14.746171893772113; 4-5-6.954535465881496,"(11.41497262521834, [1, 3, 4, 5]); (17.817528958393645, [1, 3, 5]); (20.89443834232881, [1, 2, 4, 5]); (22.514998548774972, [1, 2, 3, 4, 5]); (28.917554881950277, [1, 2, 3, 5])"
1-2-2.804161188632481; 1-3-9.83914349113647; 2-3-9.646677036680842; 2-4-2.3396038432885184; 3-4-7.099011065640539; 3-5-2.059801309772486; 4-5-14.446566224691612,"(11.898944800908957, [1, 3, 5]); (14.510639535085808, [1, 2, 3, 5]); (19.59033125661261, [1, 2, 4, 5]); (31.38472078146862, [1, 3, 4, 5]); (33.996415515645474, [1, 2, 3, 4, 5])"
1-2-13.2688056062762; 1-3-9.421155907016152; 2-3-13.568272079324712; 2-4-6.217287867866328; 3-4-7.57131171749256; 3-5-1.328358010820749; 4-5-3.321558344764798,"(10.7495139178369, [1, 3, 5]); (20.314025969273512, [1, 3, 4, 5]); (22.807651818907328, [1, 2, 4, 5]); (28.16543569642166, [1, 2, 3, 5]); (37.72994774785827, [1, 2, 3, 4, 5])"
1-2-2.9753692721663976; 1-3-6.959356164291014; 2-3-9.829289902386028; 2-4-14.542581087457553; 3-4-5.182465867075729; 3-5-10.293391787797683; 4-5-10.227060836174358,"(17.252747952088697, [1, 3, 5]); (22.368882867541103, [1, 3, 4, 5]); (23.098050962350108, [1, 2, 3, 5]); (27.745011195798305, [1, 2, 4, 5]); (28.214185877802514, [1, 2, 3, 4, 5])"
1-2-6.038879218497064; 1-3-7.319377509212387; 2-3-8.486633754414122; 2-4-10.345295658405913; 3-4-14.359396849263454; 3-5-10.283343405315389; 4-5-2.285453526010749; 4-6-11.597343617223894; 5-6-5.098145896490128; 5-7-1.1550060779736468; 6-7-1.1682809085262955; 6-8-8.725138381176352; 7-8-9.372173163706858; 7-9-13.052356827949884; 8-9-7.675593063195519; 8-10-11.77191248603373; 9-10-7.73493170183564,"(39.545015522286945, [1, 3, 5, 7, 9, 10]); (39.90181264224201, [1, 3, 5, 7, 8, 10]); (40.611923010672896, [1, 2, 4, 5, 7, 9, 10]); (40.96872013062796, [1, 2, 4, 5, 7, 8, 10]); (43.19791767822798, [1, 3, 5, 6, 8, 10])"
1-2-3.163959721685309; 1-3-6.382345577872423; 2-3-14.488353903663679; 2-4-6.028514001214282; 3-4-8.869131797368436; 3-5-2.512722496197805; 4-5-1.7288174811663055; 4-6-3.744220118274793; 5-6-12.389611496961392; 5-7-8.985819133676099; 6-7-4.0059957910119905; 6-8-8.657655812628366; 7-8-4.462250636400821; 7-9-9.463674050335223; 8-9-6.76533069871002; 8-10-9.4584003476869; 9-10-7.356213135032716,"(30.863340616274098, [1, 2, 4, 6, 7, 8, 10]); (31.052750001489652, [1, 2, 4, 6, 8, 10]); (31.801538191834048, [1, 3, 5, 7, 8, 10]); (33.76257681755432, [1, 2, 4, 6, 7, 9, 10]); (33.82776132182972, [1, 2, 4, 5, 7, 8, 10])"
1-2-6.084887817160347; 1-3-10.899064512414194; 2-3-8.089069359317788; 2-4-12.85698934047986; 3-4-6.4908432369312195; 3-5-1.9226990846992238; 4-5-12.57554258279773; 4-6-8.238236115618893; 5-6-2.8445157997379678; 5-7-14.10328551158333; 6-7-11.418756804131585; 6-8-13.450773083082503; 7-8-9.15099053530856; 7-9-8.171584496210329; 8-9-12.917673926996052; 8-10-9.158028621822938; 9-10-5.062833826498906,"(38.275081101756825, [1, 3, 5, 6, 8, 10]); (40.159467431405986, [1, 3, 5, 7, 9, 10]); (40.3194545236922, [1, 3, 5, 6, 7, 9, 10]); (41.549973765820766, [1, 2, 3, 5, 6, 8, 10]); (43.43436009546993, [1, 2, 3, 5, 7, 9, 10])"
1-2-3.542475188158723; 1-3-12.686730537640805; 2-3-9.868592970283805; 2-4-8.573635759801826; 3-4-12.646124084032689; 3-5-1.424107966314622; 4-5-4.285739068937338; 4-6-2.318593856051711; 5-6-5.270430724856342; 5-7-12.91041961829902; 6-7-13.779328041878578; 6-8-1.132362752119221; 7-8-13.936960319619686; 7-9-10.9431698795662; 8-9-10.270777547230612; 8-10-5.653489636626387; 9-10-8.372184377550585,"(21.22055719275787, [1, 2, 4, 6, 8, 10]); (26.167121617557378, [1, 3, 5, 6, 8, 10]); (26.8914592383591, [1, 2, 3, 5, 6, 8, 10]); (28.45813313049984, [1, 2, 4, 5, 6, 8, 10]); (34.21002948091268, [1, 2, 4, 6, 8, 9, 10])"
1-2-14.606746184125795; 1-3-14.757126212772922; 2-3-2.982804771930679; 2-4-5.345307607755574; 3-4-7.764640761654557; 3-5-8.496798828231105; 4-5-3.026916961539035; 4-6-10.366204706244375; 5-6-3.3573947043309977; 5-7-14.326789349241782; 6-7-4.838873254212887; 6-8-11.621588542130615; 7-8-5.775881046902019; 7-9-2.31029807726579; 8-9-7.236086899057533; 8-10-8.896478779243706; 9-10-3.337089667658569,"(36.82262645688865, [1, 2, 4, 5, 6, 7, 9, 10]); (37.09758074447227, [1, 3, 5, 6, 7, 9, 10]); (39.39233963943476, [1, 3, 4, 5, 6, 7, 9, 10]); (39.93000548775582, [1, 2, 3, 5, 6, 7, 9, 10]); (40.80451949726299, [1, 2, 4, 6, 7, 9, 10])"
1-2-11.833953954393106; 1-3-1.9635444303201368; 2-3-4.384837143215484; 2-4-10.50202193291388; 3-4-14.419756676993565; 3-5-5.565698690672246; 4-5-13.56555210078492; 4-6-12.067746573375373; 5-6-3.4469868269389474; 5-7-14.49231684803113; 6-7-14.980374313673456; 6-8-2.624411485400672; 7-8-2.4580788772606565; 7-9-7.5431199297986575; 8-9-6.264618529816274; 8-10-9.459841703809754; 9-10-8.351704896351652,"(23.060483137141755, [1, 3, 5, 6, 8, 10]); (28.216964859499928, [1, 3, 5, 6, 8, 9, 10]); (33.939480550093926, [1, 3, 5, 7, 8, 10]); (37.315729804430205, [1, 2, 3, 5, 6, 8, 10]); (37.8745248426752, [1, 3, 5, 6, 7, 8, 10])"
1-2-9.614541915029108; 1-3-6.977637334037821; 2-3-14.84437571055705; 2-4-10.534958664546892; 3-4-2.600108786667107; 3-5-2.4550033711134076; 4-5-13.58552243696797; 4-6-1.9188789844253977; 5-6-6.5785059348612585; 5-7-9.12491453026352; 6-7-8.870584578863491; 6-8-4.511414625440385; 7-8-11.2378289828109; 7-9-11.569423550159357; 8-9-11.473451624197928; 8-10-13.055326621815606; 9-10-8.680200601168368,"(29.063366352386318, [1, 3, 4, 6, 8, 10]); (33.577887887268474, [1, 3, 5, 6, 8, 10]); (36.16169195593701, [1, 3, 4, 6, 8, 9, 10]); (38.807179386742476, [1, 3, 5, 7, 9, 10]); (39.63512081125739, [1, 2, 4, 6, 8, 10])"
1-2-9.358429175823515; 1-3-2.796754824082865; 2-3-2.2699593924937305; 2-4-3.4080427549127794; 3-4-6.493064014960936; 3-5-13.555990216612862; 4-5-7.3082770923973195; 4-6-4.070519428600709; 5-6-13.167898426121615; 5-7-9.142905199240834; 6-7-12.713655434766814; 6-8-6.026930606772643; 7-8-4.132317930951086; 7-9-5.841099934405125; 8-9-2.099205467110952; 8-10-8.472144549688586; 9-10-14.08879966118569,"(27.85941342410574, [1, 3, 4, 6, 8, 10]); (31.33606651579823, [1, 2, 4, 6, 8, 10]); (35.5752740027138, [1, 3, 4, 6, 8, 9, 10]); (36.69104716834012, [1, 2, 3, 4, 6, 8, 10]); (38.100112720576234, [1, 3, 5, 7, 8, 10])"
1-2-5.238515354419154; 1-3-10.569604035691645; 2-3-14.673301224024804; 2-4-1.7326464106173483; 3-4-12.66006444825575; 3-5-6.735624606082782; 4-5-3.3777249203838835; 4-6-3.665354580424955; 5-6-3.8712847825745165; 5-7-3.8530462154926317; 6-7-14.001166391533268; 6-8-5.480431774475919; 7-8-2.368294485277482; 7-9-12.246190368943552; 8-9-1.5665220909833666; 8-10-8.96488294824398; 9-10-3.9816593415549875,"(21.66512955247573, [1, 2, 4, 6, 8, 9, 10]); (22.118408818728852, [1, 2, 4, 5, 7, 8, 9, 10]); (25.08183106818136, [1, 2, 4, 6, 8, 10]); (25.248784675009173, [1, 2, 4, 5, 6, 8, 9, 10]); (25.535110334434478, [1, 2, 4, 5, 7, 8, 10])"
1-2-4.251876953128731; 1-3-9.449951233916448; 2-3-14.4115212079009; 2-4-11.247528778952613; 3-4-2.0393775884992875; 3-5-13.948273803878381; 4-5-4.807444855969511; 4-6-12.760557780766945; 5-6-13.626636972186352; 5-7-3.0799325606411694; 6-7-1.0672653428637824; 6-8-14.883273998829843; 7-8-4.378736146182966; 7-9-1.1658505950989457; 8-9-12.471947355679887; 8-10-9.683911550796239; 9-10-6.586530975607882,"(27.129087809733242, [1, 3, 4, 5, 7, 9, 10]); (31.139164719398853, [1, 2, 4, 5, 7, 9, 10]); (33.06953351675329, [1, 3, 4, 6, 7, 9, 10]); (33.43935393600562, [1, 3, 4, 5, 7, 8, 10]); (34.23053916914283, [1, 3, 5, 7, 9, 10])"
1-2-12.817054898503113; 1-3-10.150818731350506; 2-3-13.915051747158861; 2-4-6.424078213574488; 3-4-10.016388861429395; 3-5-2.559290030911009; 4-5-12.201148954618608; 4-6-8.359526983757448; 5-6-12.509449694641663; 5-7-2.935960225094952; 6-7-5.933425703925668; 6-8-5.873141745535; 7-8-10.61197913813233; 7-9-5.19928493610492; 8-9-7.524055713277218; 8-10-4.365000436151419; 9-10-6.352527715212056,"(27.197881638673444, [1, 3, 5, 7, 9, 10]); (30.623048561640218, [1, 3, 5, 7, 8, 10]); (35.4577006385896, [1, 3, 5, 6, 8, 10]); (37.83880227752147, [1, 2, 4, 6, 8, 10]); (38.76487675822377, [1, 3, 4, 6, 8, 10])"
1-2-6.944213413092709; 1-3-6.950757271089451; 2-3-9.001673730598196; 2-4-10.593109896122302; 3-4-5.734517807019537; 3-5-8.189805029513536; 4-5-7.793937167849082; 4-6-9.041381771806586; 5-6-14.823465515281466; 5-7-13.970888053943186; 6-7-7.699949511438618; 6-8-12.413338970038511; 7-8-13.095219816767361; 7-9-4.954121934072109; 8-9-10.998195992287512; 8-10-5.592165116946651; 9-10-5.792507994823501,"(39.73216093690073, [1, 3, 4, 6, 8, 10]); (39.85808028344179, [1, 3, 5, 7, 9, 10]); (40.1732362902498, [1, 3, 4, 6, 7, 9, 10]); (44.58420916800676, [1, 2, 4, 6, 8, 10]); (45.02528452135582, [1, 2, 4, 6, 7, 9, 10])"
1-2-6.6579983974292665; 1-3-8.658954816534177; 2-3-6.970506220414071; 2-4-1.3544268152194012; 3-4-2.230133356993172; 3-5-3.505087041986833; 4-5-12.175052256455876; 4-6-14.043937250562106; 5-6-11.796018151771232; 5-7-8.07244907996716; 6-7-5.344123642557675; 6-8-7.891306479809412; 7-8-2.13880404304329; 7-9-10.950128945734829; 8-9-14.593938954119677; 8-10-8.034917502571645; 9-10-7.7879496719352925,"(30.410212484103106, [1, 3, 5, 7, 8, 10]); (35.37976228541227, [1, 2, 3, 5, 7, 8, 10]); (37.57420765138339, [1, 2, 4, 6, 7, 8, 10]); (37.982586445591835, [1, 2, 4, 6, 8, 10]); (38.43364809468664, [1, 2, 4, 5, 7, 8, 10])"
1-2-13.676532042566778; 1-3-3.716433384498261; 2-3-7.2322544998775395; 2-4-1.4483513655641973; 3-4-3.3170196702298824; 3-5-1.2139299159884698; 4-5-13.922222575943744; 4-6-7.706629633883526; 5-6-11.135224759101698; 5-7-13.916786196597185; 6-7-8.774966182572424; 6-8-12.608873738172724; 7-8-2.820273901188747; 7-9-10.701653118165963; 8-9-6.820075522628265; 8-10-7.623061813098877; 9-10-3.24455905931729,"(29.29048521137154, [1, 3, 5, 7, 8, 10]); (31.732057980218215, [1, 3, 5, 7, 8, 9, 10]); (32.793361674567166, [1, 3, 5, 7, 9, 10]); (33.95838458547172, [1, 3, 4, 6, 7, 8, 10]); (34.97201823988327, [1, 3, 4, 6, 8, 10])"
1-2-6.705307968042213; 1-3-5.178459200544881; 2-3-10.645393540189518; 2-4-1.3020533401290646; 3-4-10.937217603693806; 3-5-8.337343965651673; 4-5-8.766750019779696; 4-6-6.246322469310063; 5-6-8.895257484233525; 5-7-13.670300797404902; 6-7-13.54318311146791; 6-8-1.1565566577801014; 7-8-6.74664683989513; 7-9-3.8947881283532584; 8-9-5.590987743552477; 8-10-5.177958402848373; 9-10-14.154570960920301,"(20.588198838109815, [1, 2, 4, 6, 8, 10]); (28.696514334177223, [1, 3, 4, 6, 8, 10]); (28.745575711058553, [1, 3, 5, 6, 8, 10]); (32.00388387281298, [1, 2, 4, 5, 6, 8, 10]); (35.15579913973422, [1, 2, 4, 6, 8, 9, 10])"
1-2-9.756480775959385; 1-3-7.872893455887791; 2-3-14.498331687892197; 2-4-4.787652124805571; 3-4-7.110812818445911; 3-5-2.857382950981572; 4-5-3.615178315678319; 4-6-5.272778152412461; 5-6-3.137024474542942; 5-7-7.732246158906705; 6-7-1.8166534539403507; 6-8-14.643433441738647; 7-8-5.915837897941184; 7-9-9.403529588329052; 8-9-8.294047158512615; 8-10-13.549771259533628; 9-10-1.9736763732978546,"(27.061160296979565, [1, 3, 5, 6, 7, 9, 10]); (29.839728527402976, [1, 3, 5, 7, 9, 10]); (31.86751576510431, [1, 3, 5, 6, 7, 8, 9, 10]); (33.010770468744674, [1, 2, 4, 6, 7, 9, 10]); (33.45034384231342, [1, 3, 4, 6, 7, 9, 10])"
1-2-14.33350141995102; 1-3-6.563661828159685; 2-3-8.006774126562755; 2-4-9.041848887843555; 3-4-4.700918759432595; 3-5-7.557376997815758; 4-5-6.698866489003007; 4-6-5.273376689061755; 5-6-2.550243232677368; 5-7-13.536368142400915; 6-7-1.0921668737397936; 6-8-8.096581714514286; 7-8-13.68711724681183; 7-9-10.313699141783562; 8-9-5.872258697347977; 8-10-7.2312832895709; 9-10-1.1845394482504683,"(29.128362740427857, [1, 3, 4, 6, 7, 9, 10]); (29.261687522426634, [1, 3, 5, 6, 7, 9, 10]); (31.691337136766766, [1, 3, 4, 6, 8, 9, 10]); (31.824661918765543, [1, 3, 5, 6, 8, 9, 10]); (31.86582228073922, [1, 3, 4, 6, 8, 10])"
1-2-3.135829842938696; 1-3-12.45787579770922; 2-3-11.854088287945167; 2-4-7.860033492749921; 3-4-7.553745346472342; 3-5-1.8044905958452013; 4-5-8.724366942913093; 4-6-7.595224491412342; 5-6-11.978516705338185; 5-7-4.4173562887387785; 6-7-6.990085145878484; 6-8-5.354708088822742; 7-8-11.871029272760897; 7-9-3.5322981065959715; 8-9-9.596501226406387; 8-10-2.0473228372853334; 9-10-9.367713672420974,"(25.993118753209036, [1, 2, 4, 6, 8, 10]); (31.579734461310146, [1, 3, 5, 7, 9, 10]); (32.59807479233943, [1, 3, 5, 7, 8, 10]); (33.642914025000685, [1, 3, 5, 6, 8, 10]); (34.11177679448478, [1, 2, 3, 5, 7, 9, 10])"
1-2-3.4984141661316475; 1-3-3.2759253099257712; 2-3-13.739189145172999; 2-4-12.24964878857979; 3-4-7.447448681992; 3-5-2.8928980400822693; 4-5-4.7994407663208865; 4-6-11.116775354358587; 5-6-8.54867756498808; 5-7-6.167869033314485; 6-7-7.835680681453724; 6-8-14.372128845623733; 7-8-12.798276782951831; 7-9-14.982964003706886; 8-9-9.769120686382369; 8-10-1.0738344172576912; 9-10-8.329614496579522,"(26.208803583532045, [1, 3, 5, 7, 8, 10]); (30.163464177877543, [1, 3, 5, 6, 8, 10]); (35.562794991762665, [1, 3, 4, 5, 7, 8, 10]); (35.649270883608935, [1, 3, 5, 7, 9, 10]); (36.42529279665937, [1, 3, 5, 6, 7, 8, 10])"
1-2-1.8559006844729964; 1-3-13.918111668300519; 2-3-13.897679728659568; 2-4-5.5012787846691; 3-4-8.581293115129155; 3-5-3.8359926537766045; 4-5-1.3863063735465202; 4-6-13.374178041334318; 5-6-10.103250168717892; 5-7-10.782219955613835; 6-7-7.748997026625716; 6-8-1.723474470067438; 7-8-1.3857260109244165; 7-9-9.124553142667736; 8-9-6.125241001219423; 8-10-7.385524744164333; 9-10-13.924125647058828,"(27.95573522563828, [1, 2, 4, 5, 6, 8, 10]); (28.2969565533912, [1, 2, 4, 5, 7, 8, 10]); (29.840356724708183, [1, 2, 4, 6, 8, 10]); (35.36698379312097, [1, 2, 4, 5, 6, 7, 8, 10]); (36.96635370502678, [1, 3, 5, 6, 8, 10])"
1-2-6.388837007197466; 1-3-12.552378717251958; 2-3-13.605152540700505; 2-4-5.985599706636371; 3-4-12.194929140420708; 3-5-14.884478508320543; 4-5-7.330978129755123; 4-6-3.0210775443904443; 5-6-5.039612590840978; 5-7-9.770021959198333; 6-7-2.141769938318394; 6-8-2.66894790943791; 7-8-11.959653790375064; 7-9-7.884216378586299; 8-9-1.9448630718393345; 8-10-1.3366717038449771; 9-10-4.443776813928591; 9-11-11.193170800805984; 10-11-5.859085966149063; 10-12-1.6177999332469848; 11-12-10.821983513816956; 11-13-8.240408630545174; 12-13-5.598038463585365; 12-14-9.173183232906444; 13-14-7.01079064133385; 13-15-7.625505355779401; 14-15-10.15303989332191,"(34.24247762411892, [1, 2, 4, 6, 8, 10, 12, 13, 15]); (39.29444580604187, [1, 2, 4, 6, 8, 9, 10, 12, 13, 15]); (40.34515693098251, [1, 2, 4, 6, 8, 10, 12, 14, 15]); (41.12613382398081, [1, 2, 4, 6, 8, 10, 11, 13, 15]); (43.59199080032458, [1, 2, 4, 5, 6, 8, 10, 12, 13, 15])"
1-2-7.7447186200810805; 1-3-10.134529767262263; 2-3-8.75353718537327; 2-4-8.479220002803388; 3-4-5.180758824735367; 3-5-10.541445403766351; 4-5-11.533995701267171; 4-6-1.9564638331143764; 5-6-6.896269905173931; 5-7-13.67959154945796; 6-7-11.428954273855286; 6-8-2.1178195285638206; 7-8-3.030448550600174; 7-9-10.236233529277678; 8-9-1.4160440468070683; 8-10-4.8504688066447645; 9-10-11.796299436196579; 9-11-6.730658809756727; 10-11-8.31741183438765; 10-12-2.4859192436376327; 11-12-13.869928504356743; 11-13-3.5689709264256635; 12-13-9.968114297792791; 12-14-1.1974949986539218; 13-14-9.940854751084911; 13-15-14.74843789984485; 14-15-7.307164849063559,"(35.230619851675705, [1, 3, 4, 6, 8, 10, 12, 14, 15]); (36.139269882562544, [1, 2, 4, 6, 8, 10, 12, 14, 15]); (41.594345889867796, [1, 2, 3, 4, 6, 8, 10, 12, 14, 15]); (43.59249452803459, [1, 3, 4, 6, 8, 9, 10, 12, 14, 15]); (44.50114455892143, [1, 2, 4, 6, 8, 9, 10, 12, 14, 15])"
1-2-4.994911764496453; 1-3-12.370517263072804; 2-3-6.216749241638643; 2-4-13.53271587710169; 3-4-10.386258310799784; 3-5-8.497139569517607; 4-5-12.689116351609131; 4-6-4.936828211741381; 5-6-11.888754668635158; 5-7-12.299108608101172; 6-7-12.976542762013484; 6-8-5.8578125916377815; 7-8-5.925939437113514; 7-9-10.278362376672565; 8-9-14.609292781380814; 8-10-7.182416276378812; 9-10-13.181057855551732; 9-11-6.333163427639811; 10-11-8.991060090306012; 10-12-2.7525115930291326; 11-12-4.303042515853766; 11-13-4.471360226651451; 12-13-9.366920053943616; 12-14-6.648312924407128; 13-14-3.627899794360814; 13-15-7.175676196059226; 14-15-4.660681172725738,"(50.56619041151812, [1, 2, 4, 6, 8, 10, 12, 14, 15]); (53.636482086854855, [1, 2, 3, 4, 6, 8, 10, 12, 14, 15]); (54.795338343792565, [1, 3, 4, 6, 8, 10, 12, 14, 15]); (55.7997925643881, [1, 2, 4, 6, 8, 10, 12, 13, 15]); (56.91269733541542, [1, 2, 4, 6, 8, 10, 12, 13, 14, 15])"
1-2-2.3192316731816245; 1-3-1.4791846445523922; 2-3-10.24850988491749; 2-4-14.676269315820079; 3-4-6.881409078467736; 3-5-6.398138899104964; 4-5-11.149419393842583; 4-6-3.9128116692460972; 5-6-11.77719587339583; 5-7-4.637464770177123; 6-7-4.818040379368306; 6-8-1.4194003008857992; 7-8-12.833276144989952; 7-9-12.290836828706157; 8-9-13.806913068095293; 8-10-8.331001777376903; 9-10-3.518752024960548; 9-11-2.1962659511333946; 10-11-13.185057144922254; 10-12-12.261165294511695; 11-12-11.318181780051747; 11-13-9.617644973368886; 12-13-2.7505089196593207; 12-14-8.548473107657578; 13-14-3.452860651414814; 13-15-14.253961771514998; 14-15-5.41469569356506,"(45.48709241202279, [1, 3, 5, 7, 9, 11, 13, 14, 15]); (45.90303802967981, [1, 3, 4, 6, 8, 10, 12, 13, 14, 15]); (48.18118603072948, [1, 3, 4, 6, 8, 9, 11, 13, 14, 15]); (48.24814156626326, [1, 3, 4, 6, 8, 10, 12, 14, 15]); (49.93813813836497, [1, 3, 5, 7, 9, 11, 12, 13, 14, 15])"
