Graph Edges,Paths
1-2-11.706738881873637; 1-3-2.031851671681409; 2-3-7.649597304745141; 2-4-4.131558505200632; 3-4-5.011382127830263; 3-5-12.792133446627998; 4-5-2.6166158841274285; 4-6-10.364577874402748; 5-6-8.346751754830464; 5-7-13.68397424994589; 6-7-11.134908969968306; 6-8-11.136511925799528; 7-8-13.863054957912055; 7-9-9.51316742017633; 8-9-9.270286046108769; 8-10-6.090109786924688; 9-10-12.30374837162736,"(66.41915966821199, [1, 2, 3, 4, 5, 6, 7, 8, 10]); (67.44284253238744, [1, 2, 3, 4, 6, 8, 9, 10]); (68.0416322969426, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (73.37366337164866, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (76.10539782417055, [1, 2, 3, 4, 5, 7, 8, 9, 10])"
1-2-10.928570732034775; 1-3-5.580098757841814; 2-3-8.875825929249768; 2-4-2.2982924524690675; 3-4-5.263936718251835; 3-5-11.085449598768832; 4-5-14.237366387508828; 4-6-9.1524804742861; 5-6-1.0387171127963204; 5-7-3.376216844242762; 6-7-13.10652458371409; 6-8-3.281124977958971; 7-8-3.064350011924514; 7-9-7.242128355773387; 8-9-7.5939867021716365; 8-10-5.293282566713466; 9-10-14.888858733229352,"(64.7738390074384, [1, 3, 4, 5, 6, 7, 8, 9, 10]); (66.10838729320149, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (67.16607504556653, [1, 2, 3, 5, 6, 7, 9, 10]); (70.58228340388929, [1, 2, 3, 5, 6, 7, 8, 9, 10]); (78.99813691088112, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-11.046875205509716; 1-3-12.359842698818076; 2-3-11.122950711442625; 2-4-11.644831156352549; 3-4-4.233302278579828; 3-5-13.876448349383717; 4-5-13.915932372260675; 4-6-9.050710498321207; 5-6-1.501495716757396; 5-7-1.1755151119763203; 6-7-13.700863744990992; 6-8-8.919018663701921; 7-8-6.770010165209376; 7-9-13.164522767135582; 8-9-14.234822941306604; 8-10-3.0756412809994105; 9-10-6.129957112131347,"(65.0059166906739, [1, 3, 4, 5, 6, 7, 9, 10]); (66.47950943935743, [1, 3, 4, 6, 7, 8, 9, 10]); (68.4491823181113, [1, 2, 3, 4, 6, 7, 9, 10]); (68.6293658984165, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (71.10435500169011, [1, 2, 3, 4, 5, 6, 8, 9, 10])"
1-2-9.224113885477637; 1-3-8.143795828119405; 2-3-10.710443888970131; 2-4-3.0599806625673414; 3-4-14.407600691610924; 3-5-9.404341872443467; 4-5-13.879160247037627; 4-6-6.3142357420835085; 5-6-3.465830831289439; 5-7-6.772031888351426; 6-7-13.322328222531802; 6-8-7.93157672055791; 7-8-12.366193994017566; 7-9-3.3859109116505683; 8-9-1.799962784301345; 8-10-12.097657158261548; 9-10-4.23548390067233,"(65.65417294991734, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (67.41526500118295, [1, 2, 4, 5, 6, 7, 8, 10]); (70.59090985299159, [1, 2, 3, 5, 6, 7, 8, 10]); (71.7163834232052, [1, 2, 3, 4, 5, 6, 8, 10]); (83.4111184459088, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-5.606093881822457; 1-3-10.353124922876656; 2-3-6.860327924613844; 2-4-8.331295159593555; 3-4-13.99557143163225; 3-5-12.589508194709067; 4-5-6.651838724143097; 4-6-12.052913702657927; 5-6-12.790709892309417; 5-7-3.629421320161735; 6-7-11.961338868203054; 6-8-13.634175553754178; 7-8-7.885564701462004; 7-9-6.646435791086827; 8-9-4.754533832143118; 8-10-8.336304572468098; 9-10-12.295986295126642,"(66.02984803558793, [1, 2, 3, 5, 6, 7, 8, 10]); (66.41803869091908, [1, 3, 5, 6, 8, 9, 10]); (68.53133557447872, [1, 2, 3, 5, 6, 8, 9, 10]); (72.63076670682996, [1, 3, 5, 6, 7, 8, 9, 10]); (74.7440635903896, [1, 2, 3, 5, 6, 7, 8, 9, 10])"
1-2-1.7212633355427536; 1-3-4.7469572999472724; 2-3-7.2896753885275; 2-4-8.056468669549409; 3-4-1.5498639656248396; 3-5-11.48996137492585; 4-5-14.481793028584182; 4-6-9.017536145461035; 5-6-14.251656444137419; 5-7-2.5986932736136943; 6-7-8.422412518438843; 6-8-9.082706557791889; 7-8-7.10329959503234; 7-9-2.9089632795087708; 8-9-4.577068627808922; 8-10-2.514840681766746; 9-10-4.232019559495126,"(39.28969535010638, [1, 3, 4, 5, 7, 8, 9, 10]); (43.55367677422935, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (43.91313913593136, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (46.62781797785235, [1, 3, 4, 5, 6, 8, 10]); (50.59366609573645, [1, 3, 4, 5, 6, 7, 9, 10])"
1-2-5.884711218678874; 1-3-8.037435555607681; 2-3-5.269582313868097; 2-4-14.96904963077594; 3-4-2.905938220954222; 3-5-11.686161394797661; 4-5-12.00863097145511; 4-6-10.464105548920196; 5-6-1.8713327029890767; 5-7-2.820762871894715; 6-7-5.6892324620048; 6-8-11.549865498760417; 7-8-1.8391673309834689; 7-9-1.8019891173595322; 8-9-10.410927395546839; 8-10-3.24201563937205; 9-10-13.884068087819085,"(56.34773257877558, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (56.64673272736029, [1, 3, 4, 5, 6, 7, 8, 9, 10]); (57.25234030760845, [1, 3, 4, 6, 8, 9, 10]); (59.763590704299574, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]); (60.369198284547736, [1, 2, 3, 4, 6, 8, 9, 10])"
1-2-3.160404622630409; 1-3-14.730617810254858; 2-3-2.813483596941657; 2-4-12.892327518014072; 3-4-14.80793570734295; 3-5-14.516417514505921; 4-5-10.477135036192394; 4-6-7.10457110984621; 5-6-6.7864363798187055; 5-7-8.781257191781958; 6-7-4.047003411815031; 6-8-7.238042494554485; 7-8-11.874048377330933; 7-9-7.005394208932968; 8-9-7.404896678670409; 8-10-9.694553967307785; 9-10-7.935597655819141,"(59.14794116039674, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (62.52566708043932, [1, 2, 4, 5, 7, 8, 9, 10]); (64.5778496802911, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (67.295017828215, [1, 3, 5, 6, 7, 8, 9, 10]); (69.30694146656163, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-2.5459432105807167; 1-3-8.335489848264976; 2-3-3.7379486173750873; 2-4-8.344036976269877; 3-4-10.537120791713079; 3-5-2.926534054400975; 4-5-1.3798374167106673; 4-6-1.6823771346729053; 5-6-9.632196416058273; 5-7-1.8090583327492067; 6-7-10.18804795743955; 6-8-13.378903738302295; 7-8-8.505860621721027; 7-9-9.638607559121953; 8-9-8.796200542756006; 8-10-5.324767072837955; 9-10-1.247405851277031,"(45.32452415195486, [1, 2, 4, 5, 6, 8, 9, 10]); (45.92068967161807, [1, 2, 4, 5, 6, 7, 8, 10]); (47.2409047275354, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (48.90710782027636, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (49.29250274784457, [1, 3, 4, 6, 7, 8, 9, 10])"
1-2-4.10385303594207; 1-3-13.515123031137986; 2-3-8.807518592808135; 2-4-10.583993964234097; 3-4-6.2367324029268705; 3-5-12.157691795548764; 4-5-11.398062951675495; 4-6-14.381486961435881; 5-6-11.719990904669427; 5-7-2.338574701692199; 6-7-13.031424674250339; 6-8-12.030844220520304; 7-8-3.8792015281398036; 7-9-6.329929286267802; 8-9-8.034966817375615; 8-10-14.787944326685544; 9-10-4.562143843976519,"(63.64107925924302, [1, 3, 4, 6, 7, 8, 9, 10]); (64.62468940372695, [1, 2, 4, 5, 6, 8, 10]); (65.22816152218864, [1, 2, 3, 4, 6, 7, 8, 10]); (65.83191292457643, [1, 3, 4, 6, 7, 8, 10]); (66.18965569251665, [1, 2, 3, 4, 5, 6, 7, 9, 10])"
1-2-8.938794695472557; 1-3-14.85394797652547; 2-3-7.340715083195204; 2-4-2.184495976125978; 3-4-5.155309865996214; 3-5-9.784416124743505; 4-5-3.3355025026681426; 4-6-3.4325306014998014; 5-6-7.317062930227234; 5-7-11.30484424253569; 6-7-1.5112182547130992; 6-8-3.263062253509741; 7-8-7.471277752872295; 7-9-5.606011976245242; 8-9-5.530709555882001; 8-10-1.9247375834893163; 9-10-3.719243124454927,"(42.923858432972615, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (43.099798934086095, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (44.468441965342876, [1, 3, 5, 6, 8, 9, 10]); (45.26846344450484, [1, 3, 5, 7, 9, 10]); (50.31983376548167, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-7.144844957762496; 1-3-4.9347857727254105; 2-3-2.7134925314359486; 2-4-7.924720417600651; 3-4-2.8121525714935602; 3-5-1.8825707836373125; 4-5-14.042668025793695; 4-6-9.027048079402999; 5-6-8.450124136816823; 5-7-11.366269593798108; 6-7-4.950861723084528; 6-8-14.923975858102697; 7-8-13.366113344867879; 7-9-11.74380752814835; 8-9-5.635656957089109; 8-10-9.125757284558437; 9-10-1.1850181849634187,"(51.98438150698471, [1, 3, 4, 5, 6, 8, 9, 10]); (53.34266445073118, [1, 3, 4, 5, 7, 8, 9, 10]); (54.28946364949062, [1, 3, 4, 5, 6, 8, 10]); (55.37738071683442, [1, 3, 4, 5, 6, 7, 8, 9, 10]); (55.64774659323709, [1, 3, 4, 5, 7, 8, 10])"
1-2-9.022236128130704; 1-3-6.1023647276040105; 2-3-14.901151149919182; 2-4-6.702584118814732; 3-4-2.1410831544476094; 3-5-5.340475374833961; 4-5-2.73941952318761; 4-6-5.855621939594636; 5-6-10.150270387138388; 5-7-13.645890718301265; 6-7-10.021450893672172; 6-8-7.837084995186063; 7-8-14.716436152642393; 7-9-1.3173112707490708; 8-9-1.8905910362696572; 8-10-4.721870242178557; 9-10-14.394177104058423,"(63.076013478337636, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (63.11133478140478, [1, 2, 4, 5, 7, 8, 9, 10]); (64.68709961130317, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (69.63716534391408, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (72.94274755873478, [1, 2, 3, 4, 6, 7, 8, 9, 10])"
1-2-9.33765561893489; 1-3-9.991250897651977; 2-3-4.9289468443882845; 2-4-6.103079514565868; 3-4-14.619772794535681; 3-5-11.957907573978853; 4-5-2.1927764125501534; 4-6-13.406157088992867; 5-6-1.959486692740087; 5-7-13.400024130911488; 6-7-3.732703612133707; 6-8-7.464211339850948; 7-8-11.170472654368291; 7-9-12.82666844086333; 8-9-8.737321960288778; 8-10-12.418393209081264; 9-10-6.6845326555609965,"(55.92470431884982, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (56.16846169807689, [1, 2, 4, 6, 7, 8, 10]); (56.282543071707124, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (57.625862947180465, [1, 2, 4, 5, 7, 8, 9, 10]); (63.990376897744824, [1, 2, 3, 4, 5, 7, 9, 10])"
1-2-9.52365516416112; 1-3-6.213114503358202; 2-3-12.730595849746997; 2-4-11.588843091635596; 3-4-4.894694505038483; 3-5-9.802811645846194; 4-5-13.64311246190919; 4-6-8.529492317747646; 5-6-14.729232184961058; 5-7-2.318033108997523; 6-7-14.378559751093881; 6-8-9.879755347653582; 7-8-9.243212086030702; 7-9-6.7963893081747155; 8-9-2.4806995831708933; 8-10-10.621979901716145; 9-10-14.994791888366427,"(71.84817878432926, [1, 2, 3, 4, 6, 7, 9, 10]); (73.72390539410766, [1, 3, 4, 5, 6, 7, 8, 10]); (76.77570114535615, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (80.57741696392883, [1, 3, 4, 5, 6, 7, 8, 9, 10]); (96.61855347447874, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-12.741229733773878; 1-3-3.289408677069314; 2-3-13.146353208290527; 2-4-9.883385975016248; 3-4-13.208456441435644; 3-5-3.666970873569246; 4-5-8.385626201887316; 4-6-5.537727898375253; 5-6-8.4189980758545; 5-7-14.340286516806263; 6-7-12.395649597631955; 6-8-12.528012146882007; 7-8-4.62540994614531; 7-9-4.244920543576296; 8-9-2.1189882673423748; 8-10-8.565695632898414; 9-10-14.461938268243983; 9-11-10.221210549578156; 10-11-3.20763312136396; 10-12-4.484295076508537; 11-12-12.84504691789478; 11-13-12.118456795052047; 12-13-2.2542642495182665; 12-14-7.423262970672714; 13-14-2.5437756679332635; 13-15-14.293794344323922; 14-15-6.621511203530671,"(96.76482261195083, [1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15]); (97.17994478741862, [1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 14, 15]); (97.69275361879191, [1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]); (105.40649593809623, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]); (105.70798452147986, [1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15])"
1-2-4.21314959218663; 1-3-5.673115265208148; 2-3-5.120393855832388; 2-4-13.594033572240495; 3-4-12.635154772278002; 3-5-8.937195287840929; 4-5-1.537625439497224; 4-6-6.921720439228185; 5-6-10.770930107945338; 5-7-11.82428606323241; 6-7-8.875621166793794; 6-8-1.6229253491218383; 7-8-3.5849185706923925; 7-9-10.177572759923958; 8-9-13.414998600324505; 8-10-1.7732864079097248; 9-10-11.53955967610588; 9-11-12.903749722921138; 10-11-14.876287781426164; 10-12-2.4672753716670925; 11-12-14.350976754756733; 11-13-3.910560640524711; 12-13-6.456331839135865; 12-14-1.152870022915716; 13-14-10.481721364901404; 13-15-9.820964598234665; 14-15-12.87118713793377,"(100.82621818003238, [1, 2, 4, 6, 7, 9, 10, 11, 12, 13, 15]); (100.99230942862046, [1, 2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15]); (101.347151223081, [1, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15]); (102.73449395938124, [1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15]); (105.13898342018234, [1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 15])"
1-2-11.001469353334478; 1-3-10.62648194668064; 2-3-1.955966902916724; 2-4-1.5210727226781713; 3-4-1.8141024067926794; 3-5-13.2889297748236; 4-5-14.363061826012526; 4-6-12.584264601325676; 5-6-4.324226405053699; 5-7-4.649102545312374; 6-7-4.782906048638944; 6-8-14.762937890548226; 7-8-4.207703180224874; 7-9-7.92633722936734; 8-9-1.6252748197540923; 8-10-13.33256560073597; 9-10-7.7972508303831525; 9-11-9.115532115837288; 10-11-4.112783925035578; 10-12-9.146601103102984; 11-12-9.706603948439259; 11-13-9.708868393112931; 12-13-9.94277400365425; 12-14-3.246387167519729; 13-14-13.024480643754458; 13-15-1.1178786694800795; 14-15-11.78226791872273,"(94.10025350279471, [1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15]); (95.74524722415498, [1, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15]); (95.91693422400508, [1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]); (97.01647611531763, [1, 3, 4, 6, 8, 10, 12, 13, 14, 15]); (102.53423144210583, [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15])"
1-2-8.662339503496648; 1-3-10.231446049637736; 2-3-10.163977470562717; 2-4-11.834990143208714; 3-4-14.36734941487786; 3-5-9.289070942186033; 4-5-2.831800690712124; 4-6-2.0013440403477767; 5-6-11.58560832585278; 5-7-3.1764032126296975; 6-7-14.277816091767022; 6-8-6.827001627261017; 7-8-8.505124420784783; 7-9-9.252243221059565; 8-9-4.006623905968168; 8-10-11.455184257902946; 9-10-5.82147173665204; 9-11-4.456275892227003; 10-11-9.784490577546805; 10-12-4.539842951987202; 11-12-2.0968213601942516; 11-13-7.208856189720782; 12-13-7.676165435634848; 12-14-10.106976309213247; 13-14-12.046375064312269; 13-15-13.117870125146139; 14-15-7.05822503343882,"(95.30912252505406, [1, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15]); (96.5722880988354, [1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15]); (96.94161721127094, [1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15]); (98.11893841909543, [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15]); (105.25081029874369, [1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15])"
