Graph Edges,Paths
1-2-1.9995368084269782; 1-3-4.59089016253385; 2-3-5.898689864296599; 2-4-2.8001517005705217; 3-4-4.1666363065668275; 3-5-2.197953270203666; 4-5-4.705502587907596; 4-6-2.864913223872195; 5-6-5.84324744948685; 5-7-5.31358355944214; 6-7-4.08519425800293; 6-8-4.352799150548458; 7-8-1.1723894155544556; 7-9-3.4492276693605453; 8-9-5.503539849606847; 8-10-3.3287618602759634; 9-10-6.6422956908682576,"(15.346162743694116, [1, 2, 4, 6, 8, 10]); (16.250947266703044, [1, 2, 4, 6, 7, 8, 10]); (16.603578268010075, [1, 3, 5, 7, 8, 10]); (19.304000703797296, [1, 3, 4, 6, 8, 10]); (19.319925932177654, [1, 2, 4, 5, 7, 8, 10])"
1-2-2.066888788239825; 1-3-4.529111287582138; 2-3-5.827489899518845; 2-4-5.616515007289025; 3-4-4.955611384760196; 3-5-4.31399808109682; 4-5-3.674988443126301; 4-6-4.064104588552405; 5-6-2.618816177503569; 5-7-1.3261250580604793; 6-7-6.382576890966307; 6-8-5.717796644380669; 7-8-6.880220935755538; 7-9-6.717446365460935; 8-9-5.1167277035027965; 8-10-5.444906680944182; 9-10-4.01532480138512,"(20.902005593585493, [1, 3, 5, 7, 9, 10]); (22.494362043439157, [1, 3, 5, 7, 8, 10]); (22.62462887150738, [1, 3, 5, 6, 8, 10]); (22.910211709406106, [1, 2, 4, 6, 8, 10]); (23.417288463561682, [1, 2, 4, 5, 7, 9, 10])"
1-2-2.4926147335322435; 1-3-6.977319800070266; 2-3-3.5171667618681024; 2-4-3.050691347628654; 3-4-6.978717489552245; 3-5-4.257913516552735; 4-5-6.135706775652244; 4-6-4.2672414015637345; 5-6-2.975932093978102; 5-7-3.501529324342; 6-7-3.5916680248756157; 6-8-1.1832670114319899; 7-8-5.3739646623388415; 7-9-2.024729148245102; 8-9-3.7446024821082724; 8-10-6.89767123731089; 9-10-4.422164851060884,"(17.89148573146751, [1, 2, 4, 6, 8, 10]); (19.160581827325778, [1, 2, 4, 6, 8, 9, 10]); (19.849109506906238, [1, 2, 4, 6, 7, 9, 10]); (20.216118335601067, [1, 2, 3, 5, 7, 9, 10]); (21.18365664027099, [1, 3, 5, 7, 9, 10])"
1-2-4.365412021587405; 1-3-2.918987065493247; 2-3-2.8508552762572252; 2-4-6.001248253855628; 3-4-4.007164035319833; 3-5-1.902844430341567; 4-5-6.4364900247173695; 4-6-6.575076572171277; 5-6-5.292295233656492; 5-7-2.8284785564146464; 6-7-5.306047911490295; 6-8-3.711203218166596; 7-8-5.63918665847945; 7-9-5.285952570927464; 8-9-4.248171578286895; 8-10-6.943417151275591; 9-10-1.7155529045081208,"(14.651815527685045, [1, 3, 5, 7, 9, 10]); (18.949095760036432, [1, 2, 3, 5, 7, 9, 10]); (19.253221193523927, [1, 3, 5, 7, 8, 9, 10]); (19.78905443045292, [1, 3, 5, 6, 8, 9, 10]); (20.2329138620045, [1, 3, 5, 7, 8, 10])"
1-2-4.4070747103405745; 1-3-6.982844124920214; 2-3-5.439069255054667; 2-4-3.383966068321927; 3-4-4.528243597599551; 3-5-6.011329705350008; 4-5-2.63845694564953; 4-6-6.0139136949793395; 5-6-2.1437751284593904; 5-7-1.456930769658311; 6-7-6.4317565146623625; 6-8-6.592374107895649; 7-8-6.690140558962859; 7-9-1.9644291083063816; 8-9-6.606051042933219; 8-10-6.857228798734821; 9-10-4.837774687104468,"(18.688632289381193, [1, 2, 4, 5, 7, 9, 10]); (21.253308395339378, [1, 3, 5, 7, 9, 10]); (22.408679233238455, [1, 3, 4, 5, 7, 9, 10]); (24.116608235814407, [1, 2, 3, 5, 7, 9, 10]); (25.271979073713485, [1, 2, 3, 4, 5, 7, 9, 10])"
1-2-2.733488711235391; 1-3-4.114684910757427; 2-3-2.094865887932512; 2-4-5.049683173196682; 3-4-4.928353281864044; 3-5-2.2546781088514942; 4-5-4.102617373667895; 4-6-3.7634099217294246; 5-6-1.731770019319703; 5-7-4.401962080393031; 6-7-5.388310628091929; 6-8-5.057454483287149; 7-8-1.2336108276179538; 7-9-6.907482719530928; 8-9-5.417324544965586; 8-10-3.148081745010669; 9-10-1.1818325508200014,"(15.153017672630575, [1, 3, 5, 7, 8, 10]); (15.866687361041052, [1, 2, 3, 5, 7, 8, 10]); (16.306669267226443, [1, 3, 5, 6, 8, 10]); (17.020338955636916, [1, 2, 3, 5, 6, 8, 10]); (17.871136239649175, [1, 3, 5, 6, 7, 8, 10])"
1-2-3.118635928037179; 1-3-3.108502038118364; 2-3-2.5553204501127533; 2-4-6.127144006217181; 3-4-6.310071605869179; 3-5-1.26115493736806; 4-5-2.415399456721831; 4-6-4.623317259758855; 5-6-5.0057906748732215; 5-7-5.32052889221581; 6-7-4.1474417265028025; 6-8-6.612598971697038; 7-8-6.525768548245212; 7-9-1.9247300232625542; 8-9-5.165511760576605; 8-10-3.9513213602086914; 9-10-2.479373218941805,"(14.094289109906594, [1, 3, 5, 7, 9, 10]); (16.659743449938162, [1, 2, 3, 5, 7, 9, 10]); (17.92699261906681, [1, 3, 5, 6, 7, 9, 10]); (19.939367982265374, [1, 3, 5, 6, 8, 10]); (20.167275776156135, [1, 3, 5, 7, 8, 10])"
1-2-2.315396291118863; 1-3-4.704722053934725; 2-3-1.8908957778395845; 2-4-1.942145411767274; 3-4-1.7677429419813042; 3-5-6.706319747050442; 4-5-2.747409393596359; 4-6-2.218464696768993; 5-6-2.410900757613889; 5-7-1.450387376330468; 6-7-3.1569883920140027; 6-8-2.978753235605283; 7-8-1.8735244003906757; 7-9-6.871636916139995; 8-9-5.145491807874883; 8-10-1.9132495116161483; 9-10-1.7891320212736084,"(11.368009146876561, [1, 2, 4, 6, 8, 10]); (12.242112384819787, [1, 2, 4, 5, 7, 8, 10]); (13.084502454930176, [1, 2, 3, 4, 6, 8, 10]); (13.419768703675958, [1, 2, 4, 6, 7, 8, 10]); (13.582932439906456, [1, 3, 4, 6, 8, 10])"
1-2-6.1220395878635205; 1-3-5.419579577667095; 2-3-1.5032426079636811; 2-4-5.057726492543265; 3-4-4.185406926554133; 3-5-1.3347772468493608; 4-5-4.334013552875014; 4-6-6.469998477346314; 5-6-4.315501431456436; 5-7-6.552881986090876; 6-7-2.603616217890038; 6-8-3.3586989304067147; 7-8-4.854578272078192; 7-9-6.086366953086962; 8-9-5.260626874573236; 8-10-3.3632641665356977; 9-10-3.2405000459158355,"(17.791821352915303, [1, 3, 5, 6, 8, 10]); (19.99752397107541, [1, 2, 3, 5, 6, 8, 10]); (21.52508124922122, [1, 3, 5, 7, 8, 10]); (21.89131691247682, [1, 3, 5, 6, 7, 8, 10]); (22.634105809610134, [1, 3, 5, 7, 9, 10])"
1-2-2.969985291329598; 1-3-2.6928303191861316; 2-3-6.34874013913519; 2-4-6.532373110092533; 3-4-5.0608791073590735; 3-5-4.470327084310144; 4-5-6.416175753563774; 4-6-6.333155494029097; 5-6-4.195159377152522; 5-7-5.215919028539775; 6-7-2.977562996371895; 6-8-1.0008514454804163; 7-8-1.5188408717024733; 7-9-2.26024554744886; 8-9-1.353597291128871; 8-10-4.720137490855146; 9-10-1.0292724860603655,"(14.74203800331845, [1, 3, 5, 6, 8, 9, 10]); (15.668594465545278, [1, 3, 5, 7, 9, 10]); (16.28078708092776, [1, 3, 5, 7, 8, 9, 10]); (17.079305716984358, [1, 3, 5, 6, 8, 10]); (17.470586143243956, [1, 3, 4, 6, 8, 9, 10])"
1-2-4.176150827914368; 1-3-2.346890843624979; 2-3-3.522599714206751; 2-4-2.4056028525692446; 3-4-4.013987854941098; 3-5-3.282536801496768; 4-5-3.231748647686526; 4-6-2.9992429466636947; 5-6-2.3501764393259688; 5-7-1.945265826561582; 6-7-1.2118637879240395; 6-8-2.9779551706642033; 7-8-6.8301588094272585; 7-9-1.9271417512217603; 8-9-5.520171806984038; 8-10-5.954208987772159; 9-10-5.25484846018207; 9-11-4.135592334783061; 10-11-2.2311500116166676; 10-12-1.5667628810409338; 11-12-5.15795275704826; 11-13-6.5189060657570765; 12-13-5.99531307682057; 12-14-4.733998396656794; 13-14-3.221294264458201; 13-15-3.064085354592101; 14-15-6.378948088667784,"(23.22041897803733, [1, 3, 5, 7, 9, 11, 13, 15]); (24.837193378725754, [1, 3, 5, 6, 7, 9, 11, 13, 15]); (25.382844995540765, [1, 3, 5, 7, 9, 10, 12, 13, 15]); (26.21771093950781, [1, 3, 4, 6, 7, 9, 11, 13, 15]); (26.438585921425346, [1, 2, 4, 6, 7, 9, 11, 13, 15])"
1-2-1.0885739200568245; 1-3-3.3181470323018343; 2-3-4.224033460658381; 2-4-2.8891410209820165; 3-4-2.052244654355945; 3-5-5.775761553728327; 4-5-2.16400089270624; 4-6-4.908185577991547; 5-6-2.565909674611352; 5-7-6.24894766466115; 6-7-2.2401163349996183; 6-8-2.0761637266181543; 7-8-6.295628767957399; 7-9-3.1705996476311453; 8-9-1.1382919315913975; 8-10-1.5054191777099217; 9-10-4.26984751669441; 9-11-5.140498758702388; 10-11-4.140360012073322; 10-12-2.0588031135089873; 11-12-6.978452630104712; 11-13-3.6659292882773022; 12-13-6.846938447373589; 12-14-3.141515364043233; 13-14-4.967922685842363; 13-15-3.730555929479393; 14-15-1.9654194815527166,"(19.454946371789447, [1, 2, 4, 5, 6, 8, 10, 12, 14, 15]); (19.633221382463397, [1, 2, 4, 6, 8, 10, 12, 14, 15]); (20.847623117408382, [1, 3, 4, 5, 6, 8, 10, 12, 14, 15]); (21.02589812808234, [1, 3, 4, 6, 8, 10, 12, 14, 15]); (22.407139124074526, [1, 3, 5, 6, 8, 10, 12, 14, 15])"
1-2-1.1370108831016394; 1-3-1.3281213964160121; 2-3-2.258813927963809; 2-4-5.020253272169424; 3-4-3.072479587076524; 3-5-5.31667696650167; 4-5-1.7160097479561387; 4-6-3.9822268695908667; 5-6-6.971624541949508; 5-7-2.6781642670864327; 6-7-2.8703830347660713; 6-8-1.8789783933266626; 7-8-5.867076069610587; 7-9-1.5811890100104442; 8-9-6.599660309853738; 8-10-5.834599461017484; 9-10-1.7388787701481614; 9-11-4.3640530973001095; 10-11-1.1935137564303129; 10-12-5.42629787029959; 11-12-6.211828859388423; 11-13-6.584847472563762; 12-13-2.522464915804936; 12-14-3.9543769640128605; 13-14-6.531757291175687; 13-15-4.595714100510768; 14-15-2.662496648998826,"(24.15801426200499, [1, 3, 4, 5, 7, 9, 10, 12, 14, 15]); (24.488918108198558, [1, 3, 4, 5, 7, 9, 10, 11, 13, 15]); (24.659319665309006, [1, 3, 4, 5, 7, 9, 10, 12, 13, 15]); (24.686201893474, [1, 3, 5, 7, 9, 10, 12, 14, 15]); (25.017105739667564, [1, 3, 5, 7, 9, 10, 11, 13, 15])"
1-2-6.846395313409138; 1-3-4.94318736319444; 2-3-2.9120746901458663; 2-4-6.564141032208113; 3-4-4.776826673237722; 3-5-1.5158429491573857; 4-5-3.621598183624982; 4-6-6.687881716696953; 5-6-2.5955978046648553; 5-7-1.3692692097507757; 6-7-1.3367129411182346; 6-8-4.853232767626828; 7-8-5.2329082337588275; 7-9-5.468958537189442; 8-9-2.687332830330595; 8-10-1.1982775492398006; 9-10-6.470232133332424; 9-11-3.1704482081576613; 10-11-3.684408764805716; 10-12-5.356595806495251; 11-12-6.8119787947392725; 11-13-3.0096362373973533; 12-13-4.845730793463; 12-14-3.543184033282978; 13-14-5.472830003709189; 13-15-6.193487490895859; 14-15-4.911972913473057,"(25.670829995742917, [1, 3, 5, 7, 9, 11, 13, 15]); (27.147017798200157, [1, 3, 5, 7, 8, 10, 11, 13, 15]); (27.993670926982237, [1, 3, 5, 6, 8, 10, 11, 13, 15]); (28.071238058352513, [1, 3, 5, 7, 8, 10, 12, 14, 15]); (28.122112522642894, [1, 3, 5, 7, 8, 9, 11, 13, 15])"
1-2-1.2095672897632337; 1-3-2.215215898950282; 2-3-1.0172831961369024; 2-4-2.2295479651857817; 3-4-4.7795465167901785; 3-5-6.259762647929041; 4-5-3.384469552478971; 4-6-1.6299835421904274; 5-6-3.6563068531606113; 5-7-3.349423301947044; 6-7-3.012684159287978; 6-8-3.798955298889778; 7-8-4.965703265250962; 7-9-6.5890275642169165; 8-9-2.952729800477527; 8-10-3.199676580770657; 9-10-5.0303015774935105; 9-11-4.722617442416753; 10-11-6.761929721109488; 10-12-4.270651158957744; 11-12-6.6627222331796725; 11-13-2.3917701115001098; 12-13-2.863555003779505; 12-14-2.319973571473235; 13-14-1.4193603066721605; 13-15-5.9615104542011705; 14-15-5.579341789746859,"(24.237697196977717, [1, 2, 4, 6, 8, 10, 12, 14, 15]); (24.89668190462478, [1, 2, 4, 6, 8, 9, 11, 13, 15]); (25.1634472937383, [1, 2, 4, 6, 8, 10, 12, 13, 15]); (25.93387354684263, [1, 2, 4, 6, 8, 9, 11, 13, 14, 15]); (26.20063893595615, [1, 2, 4, 6, 8, 10, 12, 13, 14, 15])"
1-2-4.7944155794881596; 1-3-3.7311800852439414; 2-3-2.9726664747924665; 2-4-1.156265510475154; 3-4-5.102034413619306; 3-5-6.500977699813543; 4-5-2.252672670636328; 4-6-1.8001004204556095; 5-6-4.632290694057028; 5-7-3.6304807713626346; 6-7-6.024392935100865; 6-8-5.797040706455028; 7-8-5.103917746248734; 7-9-1.0347950394992753; 8-9-3.071547433200152; 8-10-1.3676735440923349; 9-10-3.8091252018608186; 9-11-6.838799481119576; 10-11-3.5379494923894796; 10-12-6.1863417396589275; 11-12-4.182675140355383; 11-13-5.323983615187707; 12-13-2.9709321933520183; 12-14-4.5882184068016425; 13-14-4.663884884393483; 13-15-5.233903053478257; 14-15-4.21545575623737,"(29.011331922021732, [1, 2, 4, 6, 8, 10, 11, 13, 15]); (29.306672747455487, [1, 2, 4, 6, 8, 10, 12, 13, 15]); (29.90551166366422, [1, 2, 4, 6, 8, 10, 12, 14, 15]); (30.26531572124709, [1, 2, 4, 5, 7, 9, 11, 13, 15]); (30.773590934377815, [1, 2, 4, 5, 7, 9, 10, 11, 13, 15])"
1-2-6.005625334186596; 1-3-6.048881303195613; 2-3-3.831773157597408; 2-4-3.9491650960071913; 3-4-1.5931669601672003; 3-5-1.0584826708085904; 4-5-4.7925939315734345; 4-6-5.947207383622594; 5-6-5.825674645943451; 5-7-2.8355589060639357; 6-7-4.783238986481504; 6-8-4.460285164304768; 7-8-6.71955682016813; 7-9-5.0679592878660245; 8-9-2.729102566604655; 8-10-3.6203333672972793; 9-10-4.411352748330869; 9-11-2.9705698682091817; 10-11-1.66432385024134; 10-12-1.3839945849002278; 11-12-2.603778286269411; 11-13-3.514766359086364; 12-13-6.759806824762229; 12-14-2.3976063717407685; 13-14-5.876798300758917; 13-15-4.533098284681123; 14-15-5.310298096144448,"(26.029316679910835, [1, 3, 5, 7, 9, 11, 13, 15]); (28.29313479029797, [1, 3, 5, 7, 9, 11, 12, 14, 15]); (28.514133969050476, [1, 3, 5, 7, 9, 10, 12, 14, 15]); (29.13442341027386, [1, 3, 5, 7, 9, 10, 11, 13, 15]); (29.37471212031899, [1, 3, 5, 7, 8, 10, 12, 14, 15])"
1-2-2.9815679709623595; 1-3-2.3884525833093653; 2-3-6.194558772662601; 2-4-1.313509028113724; 3-4-4.24083940447332; 3-5-3.6701594995272933; 4-5-2.8857077986623416; 4-6-2.5184997042007; 5-6-3.1344477607331935; 5-7-1.1823014614298584; 6-7-1.7778690405278417; 6-8-1.3387912852727168; 7-8-5.077808919182727; 7-9-5.120778527496552; 8-9-5.650042442106239; 8-10-4.235938044638114; 9-10-4.653787426920358; 9-11-5.077933216880835; 10-11-2.4143909448757284; 10-12-4.877717725513063; 11-12-4.491090149456854; 11-13-5.237360970034469; 12-13-1.9583777235028894; 12-14-5.866082394394825; 13-14-4.857798835693613; 13-15-1.5630695894816804; 14-15-4.168945782323087,"(20.787471071685246, [1, 2, 4, 6, 8, 10, 12, 13, 15]); (21.603127537579493, [1, 2, 4, 6, 8, 10, 11, 13, 15]); (22.815234440504767, [1, 2, 4, 6, 8, 10, 11, 12, 13, 15]); (23.12168606039185, [1, 3, 4, 6, 8, 10, 12, 13, 15]); (23.166954211978315, [1, 3, 5, 6, 8, 10, 12, 13, 15])"
1-2-3.502398631030524; 1-3-1.1309860807410954; 2-3-1.4228501517746686; 2-4-2.4167197954385333; 3-4-6.890287605964614; 3-5-4.844706174307604; 4-5-2.132071353336825; 4-6-1.5016098159325615; 5-6-1.2131110382220736; 5-7-4.520189061784898; 6-7-2.7181129216727227; 6-8-4.302015052350377; 7-8-2.8946619247157486; 7-9-2.8714561943431205; 8-9-2.834225026099732; 8-10-1.2565901705629834; 9-10-1.0611224360340599; 9-11-2.900624417753825; 10-11-1.644848115965718; 10-12-5.160611189408815; 11-12-3.305546685394798; 11-13-3.4230016182471408; 12-13-3.8916994553348987; 12-14-4.682032941907505; 13-14-2.3062826452491136; 13-15-4.1143704017498015; 14-15-1.4149364936487199,"(21.536477389294827, [1, 3, 5, 6, 8, 10, 11, 13, 14, 15]); (21.768402338425673, [1, 2, 4, 6, 8, 10, 11, 13, 14, 15]); (21.929628652146796, [1, 3, 5, 6, 8, 10, 11, 13, 15]); (22.161553601277642, [1, 2, 4, 6, 8, 10, 11, 13, 15]); (22.62856371843137, [1, 3, 5, 6, 7, 9, 10, 11, 13, 14, 15])"
1-2-1.254804985094589; 1-3-1.3241005381357942; 2-3-2.2744476184282507; 2-4-1.0295149506942427; 3-4-1.1267207231637164; 3-5-3.887670695166713; 4-5-4.801899266466241; 4-6-3.3970918512539336; 5-6-3.0768470426797774; 5-7-4.042506348315927; 6-7-3.9812483302995205; 6-8-4.680985963123902; 7-8-6.355105554984751; 7-9-1.9598286505938929; 8-9-3.1798510445469463; 8-10-2.1559772158690547; 9-10-6.9217490873817855; 9-11-2.947672534730076; 10-11-3.1746135269438533; 10-12-4.76400907721494; 11-12-2.30627276505135; 11-13-1.5804527286589698; 12-13-2.275138392715423; 12-14-3.9468909950157656; 13-14-1.9870955159127717; 13-15-3.676261623254948; 14-15-5.596401687237977,"(19.418493118856322, [1, 3, 5, 7, 9, 11, 13, 15]); (19.826875654580174, [1, 2, 4, 6, 7, 9, 11, 13, 15]); (19.99337698009085, [1, 3, 4, 6, 7, 9, 11, 13, 15]); (20.949702844893494, [1, 2, 4, 6, 8, 10, 11, 13, 15]); (21.11620417040417, [1, 3, 4, 6, 8, 10, 11, 13, 15])"
1-2-4.349945718361904; 1-3-3.2099521175191725; 2-3-5.31334674797099; 2-4-3.045075349762769; 3-4-2.372212902826861; 3-5-2.5554895084496776; 4-5-2.039244053021443; 4-6-3.4424890553225156; 5-6-3.125032649939536; 5-7-2.6107262504572732; 6-7-2.931149119371212; 6-8-6.441938356174912; 7-8-6.9265947841741955; 7-9-4.450165632423785; 8-9-2.106225644140963; 8-10-3.6561066803829743; 9-10-5.266108271555135; 9-11-4.5233877510100164; 10-11-3.884846426098135; 10-12-4.545725082949786; 11-12-6.817462693546632; 11-13-1.0160246851323251; 12-13-4.494651620119709; 12-14-2.1936321186975287; 13-14-4.837423718928222; 13-15-1.507430504930892; 14-15-6.961118401026124; 14-16-4.097278559472127; 15-16-5.502701082450988; 15-17-6.239790997113971; 16-17-2.2106757099732013; 16-18-5.67316904409448; 17-18-1.6541294513226006; 17-19-5.690508260665791; 18-19-6.5489784826328705; 18-20-2.1849093397849124; 19-20-3.631081541043831,"(29.952006238144627, [1, 3, 5, 7, 9, 11, 13, 15, 17, 18, 20]); (31.425592033454848, [1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18, 20]); (31.807973685543253, [1, 3, 4, 5, 7, 9, 11, 13, 15, 17, 18, 20]); (33.23395591625352, [1, 3, 5, 7, 9, 11, 13, 15, 16, 18, 20]); (33.281559480853474, [1, 3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 20])"
1-2-5.866503750374067; 1-3-1.4581710286469256; 2-3-5.65953238714996; 2-4-1.3360143219643874; 3-4-6.956608949358624; 3-5-5.723086606860906; 4-5-2.7787372905290986; 4-6-6.054588850842586; 5-6-1.5558334738064388; 5-7-6.709384502363519; 6-7-4.301364405372838; 6-8-1.0185811820018695; 7-8-1.516449585033343; 7-9-2.994711344859186; 8-9-1.4732385461110555; 8-10-1.9657714439238898; 9-10-6.282197517715523; 9-11-4.220004926987227; 10-11-6.717556893876594; 10-12-3.7274599839692057; 11-12-5.338436509335959; 11-13-5.436195209779143; 12-13-1.067463129622526; 12-14-2.230874521438442; 13-14-3.89927176721813; 13-15-3.7162639709783694; 14-15-1.0277917177277975; 14-16-5.995751296767125; 15-16-6.029656329514386; 15-17-4.027220809970013; 16-17-1.8102646479889688; 16-18-1.2979806000070377; 17-18-2.0318483322830088; 17-19-1.7634451911269984; 18-19-6.638278956329735; 18-20-5.637358217621546; 19-20-3.3985721262197366,"(27.896808085692225, [1, 3, 5, 6, 8, 10, 12, 14, 15, 17, 19, 20]); (29.421868947126878, [1, 3, 5, 6, 8, 10, 12, 13, 15, 17, 19, 20]); (30.403997318250045, [1, 3, 5, 6, 8, 10, 12, 14, 15, 17, 18, 20]); (30.610868355043387, [1, 3, 5, 6, 8, 10, 12, 14, 16, 18, 20]); (30.632668461094436, [1, 3, 5, 6, 8, 10, 12, 13, 14, 15, 17, 19, 20])"
1-2-4.109830288484023; 1-3-3.854736303514853; 2-3-5.874008441426282; 2-4-6.211338996085172; 3-4-6.644497744500425; 3-5-3.1438644724191773; 4-5-3.016490763556314; 4-6-2.70421928581238; 5-6-4.164095930140553; 5-7-1.8628542632633776; 6-7-3.5787906467207953; 6-8-2.6589001596270316; 7-8-3.615795291255389; 7-9-2.346148348701792; 8-9-3.1509120953249843; 8-10-6.186916260434721; 9-10-4.7834332777102375; 9-11-5.539642209927335; 10-11-5.259747522352145; 10-12-5.073756480287168; 11-12-2.82257912163199; 11-13-2.236525311024736; 12-13-6.052090272913606; 12-14-6.946585742704707; 13-14-1.7648100124093333; 13-15-4.103757230541926; 14-15-6.380893074991447; 14-16-6.28222970109543; 15-16-3.6196824755799875; 15-17-5.9959932617640375; 16-17-2.053358815407104; 16-18-3.615273558212464; 17-18-2.827180490511631; 17-19-3.3900437637625465; 18-19-4.850913853271252; 18-20-1.5723267435883874; 19-20-2.990802802176606,"(31.894810916774038, [1, 3, 5, 7, 9, 11, 13, 15, 16, 18, 20]); (32.218410924156885, [1, 3, 5, 7, 9, 11, 13, 14, 16, 18, 20]); (33.16007666448031, [1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18, 20]); (33.48302863525725, [1, 3, 5, 7, 9, 11, 13, 15, 17, 18, 20]); (33.48367667186316, [1, 3, 5, 7, 9, 11, 13, 14, 16, 17, 18, 20])"
